TRE,WECC,EIC
0.63,4.5168,5.088
3.54E-01,3.4905,1.4749
0.0468,1.964,0.0853
0,0.4441,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1.2319
0.1512,0.0032,5.0094
0.5076,0.297,9.4127
0.7404,1.7805,11.892
0.8916,3.115,13.106
0.9708,3.9827,13.3439
0.984,4.3607,12.5796
0.9336,4.4456,11.3753
0.816,4.2418,8.997
0.6228,3.7367,5.0662
0.3444,2.8626,1.4444
0.0444,1.6081,0.0818
0,0.382,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1.2453
0.0696,0.0015,4.6129
0.3072,0.314,8.7642
0.4284,1.4791,12.261
0.552,2.8082,13.7994
0.6516,3.8655,14.2083
0.6744,4.3864,13.6731
0.6444,4.3423,11.7973
0.5304,3.1107,8.6321
0.3828,2.3159,4.6531
0.174,1.6493,1.2618
0.0096,0.8058,0.0592
0,0.1332,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.8363
0.0252,0.0005,3.4835
0.1488,0.2258,6.6209
0.2784,1.4226,9.509
0.3816,2.864,11.1962
0.444,3.9028,11.8876
0.4116,4.5245,11.2149
0.3564,4.7295,9.4727
0.2976,4.512,7.1406
0.2244,3.9467,3.8853
1.15E-01,2.8919,0.9889
0.0096,1.5475,0.0259
0,0.2984,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.6028
0.0348,0.0007,2.7089
0.1812,0.3122,5.889
0.3744,1.3317,9.1285
0.4656,2.5345,10.7423
0.4992,3.4611,11.4331
0.51,3.9853,11.282
0.4428,4.165,9.6811
0.3312,3.928,6.7574
0.2208,3.2885,2.9731
0.108,2.397,0.76
0.0096,1.347,0.0404
0,0.3633,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.4708
0.0588,0.0012,2.6031
0.2988,0.0985,5.9295
0.546,1.2784,8.1963
0.6864,2.6747,9.8532
0.7716,3.8438,10.6446
0.7812,4.5292,10.555
0.6936,4.9408,9.3675
0.5112,4.8549,6.7227
0.2928,4.3444,3.3228
0.1212,3.3625,0.7188
0.0096,1.9641,0.0255
0,0.4723,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0026
0,0,1.7497
0.0612,0.0013,4.99
0.282,0.1369,7.8626
0.4776,1.5385,10.0742
0.4644,3.0067,11.298
0.6156,4.0767,11.3791
0.7152,4.7361,10.5767
0.6888,5.0013,8.4504
0.5712,4.8912,5.5268
0.3684,4.3624,2.346
1.63E-01,3.3506,0.4018
0.0144,1.97E+00,0.037
0,0.4918,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.7932
0.012,0.0003,2.8486
0.0888,0.2339,5.0415
0.192,1.7136,6.2391
0.2868,3.2941,7.1548
0.3588,4.3851,7.5493
0.3588,5.0494,7.558
0.3576,5.2967,6.894
0.3,5.1275,5.0879
0.21,4.56,2.5053
1.21E-01,3.5635,0.6074
0.0108,2.0879,0.0454
0,0.4867,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0009
0,0,0.67
0.0036,0.0001,2.9674
0.0444,0.4222,6.6281
0.108,2.0231,9.7372
0.1212,3.5006,11.8486
0.1284,4.5913,13.0414
0.1428,5.2374,12.7713
0.1404,5.4589,11.0521
0.1344,5.1266,8.1236
0.1884,4.2961,4.3502
1.43E-01,3.2701,1.3183
0.0132,1.8806,0.0723
0,0.4067,0.0002
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1.3255
0.0876,0.0018,4.1853
0.3192,0.191,8.1596
0.6144,0.9885,12.2962
0.8028,2.1116,14.585
0.8508,3.0148,15.3654
0.7524,3.4103,14.7566
0.6192,3.6904,12.9223
0.4584,3.6217,9.858
0.3288,2.88,5.4901
1.45E-01,1.8421,1.5777
0.0108,0.88,0.0629
0,0.1672,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
